Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Norway,NOR,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178
Oman,OMN,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Pakistan,PAK,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100
Palau,PLW,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Panama,PAN,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420
Papua New Guinea,PNG,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840
Paraguay,PRY,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406752,406752,406752,406752,406752,406752,406752,406752
Peru,PER,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220
Philippines,PHL,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Poland,POL,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312680,312680,312680,312680,312680,312680,312680,312680,312680,312680
Portugal,PRT,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92090,92210,92210,92210,92210,92220,92225,92225,92225,92225
Puerto Rico,PRI,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870
Qatar,QAT,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610
Romania,ROU,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390
Russian Federation,RUS,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250,17098250,17098250
Rwanda,RWA,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340
Samoa,WSM,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
San Marino,SMR,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Sao Tome and Principe,STP,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Saudi Arabia,SAU,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690
Senegal,SEN,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710
Serbia,SRB,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360
Seychelles,SYC,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Sierra Leone,SLE,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300
Singapore,SGP,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,710,710,712,714,716,717,719,719,719,719
Sint Maarten (Dutch part),SXM,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Slovak Republic,SVK,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49035,49040,49037,49036,49036,49036,49035,49035,49035,49035
Slovenia,SVN,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270
Solomon Islands,SLB,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900
Somalia,SOM,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660
South Africa,ZAF,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090,1219090
South Sudan,SSD,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330,644330
Spain,ESP,505990,505990,505990,505990,505990,505990,505990,505990,505990,505990,505000,505000,505000,505000,505000,505000,505000,505000,505370,505370,505600,505600,505940,505940,505940,505940,505940,505940
Sri Lanka,LKA,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610,65610
St. Kitts and Nevis,KNA,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
St. Lucia,LCA,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620
St. Martin (French part),MAF,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4
St. Vincent and the Grenadines,VCT,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390
Sudan,SDN,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,1879357.5,1879357.5,1879357.5,1879357.5,1879357.5,1879357.5,1879357.5
Suriname,SUR,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820
Sweden,SWE,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,447420,447420,447420,447420,447420,447420
Switzerland,CHE,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290,41290
Syrian Arab Republic,SYR,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180
Tajikistan,TJK,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,142550,141376,141376,141376,141376
Tanzania,TZA,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300,947300
Thailand,THA,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120,513120
Timor-Leste,TLS,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870,14870
Togo,TGO,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790,56790
Tonga,TON,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Trinidad and Tobago,TTO,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130,5130
Tunisia,TUN,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610,163610
Turkey,TUR,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350,785350
Turkmenistan,TKM,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100,488100
Turks and Caicos Islands,TCA,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Tuvalu,TUV,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Uganda,UGA,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550,241550
Ukraine,UKR,603560,603560,603560,603560,603560,603560,603560,603560,603560,603560,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550,603550
United Arab Emirates,ARE,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600,83600
United Kingdom,GBR,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610,243610
United States,USA,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9629090,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
Uruguay,URY,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220,176220
Uzbekistan,UZB,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400,447400
Vanuatu,VUT,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190,12190
"Venezuela, RB",VEN,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050,912050
Vietnam,VNM,331030,331030,331030,331030,331030,331030,331030,331030,331030,331030,329240,329240,329240,329240,329240,329240,329240,329240,331051,331051,330954,330957,330971,330972,330967,330967,330967,330967
Virgin Islands (U.S.),VIR,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
West Bank and Gaza,PSE,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
"Yemen, Rep.",YEM,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970,527970
Zambia,ZMB,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610,752610
Zimbabwe,ZWE,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760,390760
Arab World,ARB,13781751,13781751,13781751,13781751,13781751,13781751,13781751,13781751,13781751,13781751,13781771,13781771,13781771,13781771,13781771,13781771,13781771,13781771,13781821,13779281,13779283,13152835.5,13152648.5,13152648.5,13152649.5,13152649.5,13152649.5,13152649.5
Caribbean small states,CSS,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990,434990
Central Europe and the Baltics,CEB,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134899,1134954,1134960,1134907,1134876,1134876,1134886,1134871,1134871,1134871,1134871
Early-demographic dividend,EAR,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34259640,34108647,34108647,34108647,34108647,34108647,34108647,34108647,34108647,34107014,34107554,34107558,34107563,34107566,34107566,34105563,34105563,34105563,34105563
East Asia & Pacific,EAS,24822250,24822250,24822250,24822250,24822250,24822250,24822250,24822250,24822250,24822250,24822260,24822260,24822260,24822260,24822260,24822260,24822260,24822260,24824811,24824888.5,24824926.7,24824936.9,24825077.9,24825198.3,24825215.3,24825215.3,24825215.3,24825215.3
East Asia & Pacific (excluding high income),EAP,16269640,16269640,16269640,16269640,16269640,16269640,16269640,16269640,16269640,16269640,16268700,16268700,16268700,16268700,16268700,16268700,16268700,16268700,16270501.8,16270502,16270405,16270408,16270422,16270423,16270419,16270419,16270419,16270419
East Asia & Pacific (IDA & IBRD countries),TEA,16148900,16148900,16148900,16148900,16148900,16148900,16148900,16148900,16148900,16148900,16148420,16148420,16148420,16148420,16148420,16148420,16148420,16148420,16150221.8,16150222,16150125,16150128,16150142,16150143,16150139,16150139,16150139,16150139
Euro area,EMU,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2725264,2757455,2757455,2757455,2757455,2757455,2757455,2757455,2757455,2758160,2758296,2758480,2758462,2758832,2759022,2759052,2759052,2759052,2759052
Europe & Central Asia,ECS,28362657,28362657,28362657,28362657,28362657,28362657,28362657,28362657,28362657,28362657,28463670,28463670,28463670,28463670,28463670,28463670,28463670,28463670,28464435,28464570,28464764,28464746,28462036,28462252,28461114,28461114,28461114,28461114
Europe & Central Asia (excluding high income),ECA,23485557,23485557,23485557,23485557,23485557,23485557,23485557,23485557,23485557,23485557,23485629,23485629,23485629,23485629,23485629,23485629,23485629,23485629,23485649,23485648,23485658,23485658,23485658,23485658,23484484,23484484,23484484,23484484
Europe & Central Asia (IDA & IBRD countries),TEC,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854787,23854859,23854859,23854859,23854859,23854859,23854859,23854859,23854859,23854919,23854918,23854928,23854928,23854928,23854928,23853754,23853754,23853754,23853754
European Union,EUU,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4352774,4384965,4384965,4384965,4384965,4384965,4384965,4384965,4384965,4385720,4385856,4386040,4386022,4383312,4383528,4383564,4383564,4383564,4383564
Fragile and conflict affected situations,FCS,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15561598,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15680078,15676998,15676998,15694875.5,15694685.5,15694685.5,15694685.5,15694685.5,15694685.5,15694685.5
Heavily indebted poor countries (HIPC),HPC,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,20393351,19767153.5,19767153.5,19767153.5,19767153.5,19767153.5,19767153.5,19767153.5
High income,HIC,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39458852.4,39563703.4,39563703.4,39563703.4,39563703.4,39563703.4,39563703.4,39563703.4,39563703.4,39764727.6,39764940.9,39765262.1,39765256.3,39762676.3,39763011.7,39763069.7,39763069.7,39763069.7,39763069.7
IBRD only,IBD,71392716,71392716,71392716,71392716,71392716,71392716,71392716,71392716,71392716,71392716,71364158,71364158,71364158,71364158,71364158,71364158,71364158,71364158,71366009.8,71363470,71363385,71363388,71363210,71363212,71363207,71363207,71363207,71363207
IDA & IBRD total,IBT,98510594,98510594,98510594,98510594,98510594,98510594,98510594,98510594,98510594,98510594,98476073,98476073,98476073,98476073,98476073,98476073,98476073,98476073,98476251.8,98473711,98473626,98491761.5,98491583.5,98491585.5,98489576.5,98489576.5,98489576.5,98489576.5
IDA blend,IDB,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037560,6037640,6037640,6037640,6037640,6037640,6037640,6037640,6037640,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650,6037650
IDA only,IDX,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21080318,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21074275,21072592,21072591,21072591,21090723.5,21090723.5,21090723.5,21088719.5,21088719.5,21088719.5,21088719.5
IDA total,IDA,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27117878,27111915,27111915,27111915,27111915,27111915,27111915,27111915,27111915,27110242,27110241,27110241,27128373.5,27128373.5,27128373.5,27126369.5,27126369.5,27126369.5,27126369.5
Late-demographic dividend,LTE,45769235,45769235,45769235,45769235,45769235,45769235,45769235,45769235,45769235,45769235,45767497,45767497,45767497,45767497,45767497,45767497,45767497,45767497,45769303.8,45769309,45769169,45769141,45769153,45769165,45769159,45769159,45769159,45769159
Latin America & Caribbean,LCN,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20452682.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425492.4,20425484.4,20425484.4,20425482.4,20425483.4,20425483.4,20425483.4,20425483.4,20425483.4
Latin America & Caribbean (excluding high income),LAC,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16633110,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605920,16605912,16605912,16605910,16605911,16605911,16605911,16605911,16605911
Latin America & the Caribbean (IDA & IBRD countries),TLA,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20317186,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289996,20289998,20289998,20289996,20289997,20289997,20289997,20289997,20289997
Least developed countries: UN classification,LDC,20780601,20780601,20780601,20780601,20780601,20780601,20780601,20780601,20780601,20780601,20773678,20773678,20773678,20773678,20773678,20773678,20773678,20773678,20771995,20771995,20771995,20790127.5,20790127.5,20790127.5,20789297.5,20789297.5,20789297.5,20789297.5
Low & middle income,LMY,94583588,94583588,94583588,94583588,94583588,94583588,94583588,94583588,94583588,94583588,94548607,94548607,94548607,94548607,94548607,94548607,94548607,94548607,94548745.8,94546205,94546110,94564245.5,94564067.5,94564069.5,94562060.5,94562060.5,94562060.5,94562060.5
Low income,LIC,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,14682601,15327186,15327186,15327186,15326012,15326012,15326012,15326012
Lower middle income,LMC,22904227,22904227,22904227,22904227,22904227,22904227,22904227,22904227,22904227,22904227,22896284,22896284,22896284,22896284,22896284,22896284,22896284,22896284,22896422,22896421,22896324,22269874.5,22269888.5,22269889.5,22269054.5,22269054.5,22269054.5,22269054.5
Middle East & North Africa,MEA,11373260,11373260,11373260,11373260,11373260,11373260,11373260,11373260,11373260,11373260,11373280,11373280,11373280,11373280,11373280,11373280,11373280,11373280,11373330,11370790,11370792,11370797,11370610,11370610,11370611,11370611,11370611,11370611
Middle East & North Africa (excluding high income),MNA,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8775420,8775420,8775420,8775230,8775230,8775230,8775230,8775230,8775230
Middle East & North Africa (IDA & IBRD countries),TMN,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8771940,8769400,8769400,8769400,8769210,8769210,8769210,8769210,8769210,8769210
Middle income,MIC,79900987,79900987,79900987,79900987,79900987,79900987,79900987,79900987,79900987,79900987,79866006,79866006,79866006,79866006,79866006,79866006,79866006,79866006,79866144.8,79863604,79863509,79237059.5,79236881.5,79236883.5,79236048.5,79236048.5,79236048.5,79236048.5
North America,NAC,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19616750,19616750,19616750,19616750,19616750,19616750,19616750,19616750,19816230,19816230,19816230,19816230,19816230,19816230,19816230,19816230,19816230,19816230
Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
OECD members,OED,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36064229,36064229,36064229,36064229,36064229,36064229,36064229,36064229,36265114,36265327,36265644,36265631,36263046,36263380,36263444,36263444,36263444,36263444
Other small states,OSS,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2074448,2074448,2074448,2074448,2074448,2074448,2074448,2074448,2072815,2072815,2072817,2072822,2072825,2072825,2072826,2072826,2072826,2072826
Pacific island small states,PSS,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150
Post-demographic dividend,PST,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33099614,33099614,33099614,33099614,33099614,33099614,33099614,33099614,33300603.2,33300810.5,33301172.7,33301192.9,33298609.9,33298935.3,33298993.3,33298993.3,33298993.3,33298993.3
Pre-demographic dividend,PRE,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20668051,20668051,20686183.5,20685993.5,20685993.5,20685993.5,20685993.5,20685993.5,20685993.5
Small states,SST,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2574588,2574588,2574588,2574588,2574588,2574588,2574588,2574588,2572955,2572955,2572957,2572962,2572965,2572965,2572966,2572966,2572966,2572966
South Asia,SAS,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5136164,5136164,5136164,5136164,5136164,5136164,5135333,5135333,5135333,5135333
South Asia (IDA & IBRD),TSA,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5136164,5136164,5136164,5136164,5136164,5136164,5135333,5135333,5135333,5135333
Sub-Saharan Africa,SSF,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5
Sub-Saharan Africa (excluding high income),SSA,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24290683.5,24290683.5,24290683.5,24290683.5,24290683.5,24290683.5,24290683.5
Sub-Saharan Africa (IDA & IBRD countries),TSS,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5
Upper middle income,UMC,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56996760,56969722,56969722,56969722,56969722,56969722,56969722,56969722,56969722,56969722.8,56967183,56967185,56967185,56966993,56966994,56966994,56966994,56966994,56966994
World,WLD,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134042440.4,134112310.4,134112310.4,134112310.4,134112310.4,134112310.4,134112310.4,134112310.4,134112310.4,134313473.4,134311145.9,134311372.1,134329501.8,134326743.8,134327081.2,134325130.2,134325130.2,134325130.2,134325130.2
